concept_code,concept_label,lang,text,source
E.data,Evidence - Data,zh,我們整理了問卷回收的數據，發現滿意度平均比上次提升了 12%。,gpt_paradigm
E.data,Evidence - Data,zh,從感測器連續測量的溫度資料來看，下午兩點左右有明顯的尖峰。,gpt_paradigm
E.data,Evidence - Data,zh,我用公開資料集做交叉驗證，結果顯示模型在不同年度的表現都穩定。,gpt_paradigm
E.data,Evidence - Data,zh,比較前後測分數後，可以用數據佐證這次教學活動確實提升了理解度。,gpt_paradigm
E.data,Evidence - Data,zh,把實驗紀錄轉成圖表分析後，數據趨勢支持我們原本的假設。,gpt_paradigm
K.sensor,Knowledge - Sensor,zh,我們在溫室裡加裝溫濕度感測器，每十分鐘自動記錄環境變化。,gpt_paradigm
K.sensor,Knowledge - Sensor,zh,為了追蹤用電狀況，我用電流感測器量測馬達啟動時的瞬間電流。,gpt_paradigm
K.sensor,Knowledge - Sensor,zh,機器人避障是靠超音波測距感測器，遇到牆面就會立刻減速轉向。,gpt_paradigm
K.sensor,Knowledge - Sensor,zh,這次實驗用光感測器比較不同燈泡的亮度，數據差異很明顯。,gpt_paradigm
K.sensor,Knowledge - Sensor,zh,我把加速度感測器固定在車模上，分析它在轉彎時的晃動程度。,gpt_paradigm
